question,answer
Who increased British military resources in colonies?,William Pitt
What is the system by which prokaryotes retain phage gene fragments that they have previously come in contact with?,CRISPR
When was most of Sunnside developed?,1950s through the 1970s
When did French learn about Braddock's plans?,plans leaked to France well before Braddock's departure
Does the residential architecture of the Tower District compare or contrast with other part of Fresno?,contrasts
In the most basic sense what did a Turing machine emulate?,a computer
What signer of the Articles of Confederation was descended from Huguenots?,Henry Laurens
Who mentored Buyantu?,Li Meng
What term best describes southern California's collection of landscapes?,varied
What value does the seperating into fermions and bosons depend?,spin
Who argued that the USSR had itself become an imperialist power?,Mao Zedong
Full size working engines on what vehicles sometimes use oscillating cylinder steam engines?,ships
What did the Mongol elites wish Buyantu didn't do?,actively support and adopt mainstream Chinese culture
What are the three sources of European Union law?,"primary law, secondary law and supplementary law"
Which article of the Treaty on European Union states that Commissioners should be completely independent and not take instructions from any Government?,Article 17(3)
What was the goal of congress?,"formalize a unified front in trade and negotiations with various Indians, since allegiance of the various tribes and nations was seen to be pivotal"
What is the typical working fluid in a steam engine?,water
What was Thoreau's punishment for not paying his taxes?,imprisonment
What is the largest city the Rhine runs through? ,"Cologne, Germany"
What has become the secret to economic growth?,widespread education
At what rank does GPS per capita set Victoria?,fourth
What techniques did Chinese medicine include?,"acupuncture, moxibustion, pulse diagnosis, and various herbal drugs and elixirs"
The presence or absence of what can be used to determine the relative age of the formations in which they are found? ,organisms
 When was the Single European Act made?,1986
What do MSPs who are not in the chamber when the division bell rings return to do?,vote
For what railroad did Stephenson build a locomotive in 1825?,Stockton and Darlington
The presence of who is highly likely even in small projects?,the mortgage banker
What was the ratio of British settler to French?,20 to 1
How are AUSTPAC connections made ,"Access can be via a dial-up terminal to a PAD, or, by linking a permanent X.25 node to the network"
What is one condition that an element p of R must satisfy in order to be considered a prime element?,it is neither zero nor a unit
"Because of the danger inherent in concentrated oxygen, what is a concern about keeping it?",storage vessels
What are the skin cells that can be transformed into tumors known as?,melanocytes
Who did Warsaw serve as the seat for in 1529?,General Sejm
How many Americans are richer than more than half of all citizens?,400
Evolution of what part of the immune system occurred in the evolutionary ancestor of jawed vertebrates?,adaptive immune system
Which cidippid is used as a description on ctenophores in most textbooks?,Pleurobrachia
What kind of university is the California Institute of Technology?,private
What is the largest suspension bridge in Germany?,Emmerich Rhine Bridge
What is the southern region where protestants are concentrated?,Cévennes
In what expression can one expect to find DTIME(n),DTIME(n2)
In what era did some members of this community emigrate to the US?,1890s
"In early Pleistocene, what direction did the Rhine flow?",northwest
In 2004 the Orange revolution occurred in what country?,Ukraine
When did the German army reoccupy Rhineland?,1936
What happened with the ground water level with the Rhine straightening program?,fell significantly
What London neighborhood attracted Huguenot refugees?,Shoreditch
Eicosanoids include what compounds that result in fever and blood vessel dilation?,prostaglandins
How much did the Milton Friedman Institute roughly cost?,around $200 million
What type of soil is considered a product of soil management by indigenous peoples in the Amazon Forest?,Terra preta (black earth)
What is KMJ now referred to?,NBC affiliate KSEE
What did Gasquet's book blame the plague on?,rats and fleas
Where is the famous rock the Rhine flows around?,Sankt Goarshausen
What computational problem is commonly associated with prime factorization?,The integer factorization problem
What objects in organisms absorb singlet oxygen to prevent harm?,Carotenoids
How fast were the winds around St. Augustine in the 1964 hurricane?,110 mph
"Residential construction practices, technologies, and resources must conform to what?",local building authority regulations and codes of practice
What car is licensed by the FSO Car Factory and built in Egypt?,Polonez
When did the North American French and Indian War end?,signing of the Treaty of Paris on 10 February 1763
"What is included along with gravitational acceration, and mass of the Earth in a formula about rotation about the Earth?",radius () of the Earth
When was the European Communities Act created?,1972
What medical appliance can be a concern for oxygen toxicity?,mechanical ventilators
How much revenue is private?,$680 billion
Who was Guy's Rival?,Conrad of Montferrat
How many developed countries did British researchers use to gather statistics from?,23
What did the use of steam engines in farming lead to?,increase in the land available for cultivation
What Senate committee did Singer speak to in July 2000?,"United States Senate Committee on Commerce, Science and Transportation"
How far did the sea level drop in the ice ages?,120 m
What time of day did these reformed supposedly gather to engage in Huguenot rituals?,night
Which conjecture holds that every even integer n greater than 2 can be expressed as a sum of two primes?,Goldbach's conjecture
"How much was the combined wealth of the ""10 Million dollar millionaires"" in 2008?",nearly $41 trillion
Who does BSkyB have an operating license from?,Ofcom
How did Turabi build a strong economic base?,money from foreign Islamist banking systems
"Other than Point Conception, what landmark is used in the other definition of southern California?",Tehachapi Mountains
What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?  ,input
When did these rebellions take place?,between 1621 and 1629
Who made up 19% of the student body in the 2012 Spring Quarter? ,international students
Warsaw's sidewalks and sanitation facilities are some examples of things which have what?,improved markedly
In what year was the Joe and Rika Mansueto Library constructed?,2011
What was Tugh Temur known for?,his cultural contribution
Pattern recognition receptors recognize components present in broad groups of what?,microorganisms
What pathway that plays a role in immune response to viruses is present in all eukaryotes?,RNA interference pathway
What prompted Shen Kuo to believe the land was formed by erosion of the mountains?,his observation of fossil animal shells
"How many combinatory and graph theoretical problems, formerly believed to be plagued by intractability, did Karp's paper address?",21
How are the packets routed ,"individually, sometimes resulting in different paths and out-of-order delivery"
How many seats does Victoria have in the Senate?,12
What type of measurements result under Schrodinger equations when using operators instead of Newtonian variables?,quantized
What is the highest peak in Victoria?,Mount Bogong
"In the encoding of mathematical objects, what is the way in which integers are commonly expressed?",binary notation
"If a matter is not specifically reserved, who is it devolved to?",Scottish Parliament
What are new responsibilities pharmacy technicians now deal with?,patients' prescriptions and patient safety issues
What famous author used similarity and likeness of Percy Shelly in his writing?,Henry David Thoreau
What year was the University of Warsaw established?,1816
How are decisions made on behave of the EU made?,simple majority vote
Which timeline is further expanded in the fourth scale?,Quaternary
How many Victorians are Catholic?,26.7%
What did the civil war leave the state of Afghanistan's economy in?,one of the poorest countries on earth
What is the clarity of liquid oxygen?,clear
What were the reasons why residents moved to the town of Fresno Station?,the convenience of the railroad and worried about flooding
How long is one term for an elected president of the CJEU?,three years
How did the revocation restrict Huguenot travel?,prohibited emigration
